country;trip.no;haul.no;vessel.length;set.date;haul.date;set.time.start;set.time.end;soak;haul.time.start;haul.time.end;haul.lat.start;haul.lon.start;haul.lat.end;haul.lon.end;perc.haul.obs;view.lines;LL.config;target;bait.type;bait.cond;num.hooks.shot;num.hooks.lost;IMR.qual;LL.length;mitig.set;mitig.haul;depth;sea.state;wind;cloud;LL.material;LL.diam;snood.length;hook.size;hook.type;dist.snood.hook;float.type;float.interv;tot.catch.weight;tot.catch.num;LL.set.type;BSL.length;comments.set;attach.pos.set;LL.haul.type;comments.haul;attach.pos.haul;fulmar;gannet;skua;gbb.gull;kittiwake;g.gull;h.gull;lbb.gull;unid.gull;m.shearwater;e.shag;smthg.else;division;bycatch_tot;bycatch_binary;daysAtSeaOb;effort_metric;length.cat;set_date_parsed;haul_date_parsed;date_parsed;month;year;quarter
GR;GR_2021_ 12;12;6.5;24.9.2021;25.9.2021;16:00:00;;16.267;08:16:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-24T00:00:00Z;2021-09-25T00:00:00Z;2021-09-24T00:00:00Z;9;2021;Q3
GR;GR_2021_ 13;13;6.5;26.9.2021;27.9.2021;16:00:00;;16.017;08:01:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-26T00:00:00Z;2021-09-27T00:00:00Z;2021-09-26T00:00:00Z;9;2021;Q3
GR;GR_2021_ 14;14;6.5;27.9.2021;28.9.2021;16:00:00;;16.45;08:27:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-27T00:00:00Z;2021-09-28T00:00:00Z;2021-09-27T00:00:00Z;9;2021;Q3
GR;GR_2021_ 15;15;6.5;28.9.2021;29.9.2021;17:00:00;;15.333;08:20:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-28T00:00:00Z;2021-09-29T00:00:00Z;2021-09-28T00:00:00Z;9;2021;Q3
GR;GR_2021_ 16;16;6.5;29.9.2021;30.9.2021;16:00:00;;16.317;08:19:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-29T00:00:00Z;2021-09-30T00:00:00Z;2021-09-29T00:00:00Z;9;2021;Q3
GR;GR_2021_ 17;17;6.5;30.9.2021;1.10.2021;15:00:00;;17.05;08:03:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-30T00:00:00Z;2021-10-01T00:00:00Z;2021-09-30T00:00:00Z;9;2021;Q3
GR;GR_2021_ 18;18;6.5;3.10.2021;4.10.2021;17:35:00;;13.833;07:25:00;;69.95;-50.71;;;100;Y;demersal;Greenland halibut;capelin;;1500;;;;N;N;700;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-10-03T00:00:00Z;2021-10-04T00:00:00Z;2021-10-03T00:00:00Z;10;2021;Q4
GR;GR_2021_ 19;19;6.5;4.10.2021;5.10.2021;19:02:00;;12.867;07:54:00;;69.94;-50.81;;;100;Y;demersal;Greenland halibut;capelin;;1100;;;;N;N;700;;;;;;;;J;;;;;;;;;;;;;;;;;;1;;;;;;;21.1.A;1;1;1;FiD;<12m;2021-10-04T00:00:00Z;2021-10-05T00:00:00Z;2021-10-04T00:00:00Z;10;2021;Q4
GR;GR_2021_ 20;20;6.5;7.10.2021;7.10.2021;11:38:00;;3.983;15:37:00;;69.27;-51.13;;;100;Y;demersal;Greenland halibut;capelin;;1400;;;;N;N;350;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-10-07T00:00:00Z;2021-10-07T00:00:00Z;2021-10-07T00:00:00Z;10;2021;Q4
GR;GR_2021_ 21;21;6.5;11.10.2021;12.10.2021;19:00:00;;15.267;10:16:00;;70.59;-52.11;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-10-11T00:00:00Z;2021-10-12T00:00:00Z;2021-10-11T00:00:00Z;10;2021;Q4
